Name,Bio,Identifier,B.A.,B.S.,J.D.,Ph.D.,M.B.A,M.A.,M.S.,M.P.H.,M.D.,D.M.D.
"ACKERMAN, Gary Leonard","['a Representative from New York; born in Brooklyn, Kings County, N.Y., November 19, 1942; graduated from Brooklyn Technical High School, Brooklyn, N.Y., 1960; B.A., Queens College, Flushing, N.Y., 1965; attended, St. John&#x2019;s University, Jamaica, N.Y., 1966; teacher; member of the New York state senate, 1979-1983; business owner; unsuccessful candidate for city council, New York City, N.Y., 1977; elected as a Democrat to the Ninety-eighth Congress, by special election, to fill the vacancy caused by the death of United States Representative Benjamin Rosenthal, and reelected to the fourteen succeeding Congresses (March 1, 1983-January 3, 2013); was not a candidate for reelection to the One Hundred Thirteenth Congress in 2012.\r']",A000022,1,0,0,0,0,0,0,0,0,0
"ADAMS, Sandra (Sandy)","['a Representative from Florida; born in Wyandotte, Wayne County, \r', 'Michigan, on December 14, 1956; attended high school and earned a G.E.D.; B.A., \r', 'Columbia College, Orlando, Fla., 2000; United States Air Force, 1974-1975; \r', 'Orange County, Fla., sheriff&#146;s office, 1985-2002; member of the Florida state \r', 'house of representatives, 2002-2010; elected as a Republican to the One Hundred \r', 'Twelfth Congress (January 3, 2011-January 3, 2013); unsuccessful candidate for \r', 'nomination to the One Hundred Thirteenth Congress in 2012.\r']",A000366,1,0,0,0,0,0,0,0,0,0
"ADERHOLT, Robert","['a Representative from Alabama; born in Haleyville, Winston County, \r', 'Ala., July 22, 1965; B.A., Birmingham Southern College, Birmingham, Ala., 1987; \r', 'J.D., Samford University, Birmingham, Ala., 1990; lawyer, private practice; \r', 'Haleyville, Ala., municipal judge, 1992-1995; staff, Alabama Governor Fob \r', 'James, 1995-1996; elected as a Republican to the One Hundred Fifth and to the \r', 'ten succeeding Congresses (January 3, 1997-present).\r']",A000055,1,0,1,0,0,0,0,0,0,0
"AKIN, W. Todd","[' a Representative from Missouri; born in New York, N.Y., July 5, \r', '1947; B.S., Worcester Polytechnic Institute, Worcester, Mass., 1971; M.Div., \r', 'Covenant Seminary, St. Louis, Mo., 1984; United States Army, 1971-1980; member \r', 'of the Missouri state house of representatives, 1988-2001; elected as a \r', 'Republican to the One Hundred Seventh and to the five succeeding Congresses \r', '(January 3, 2001-January 3, 2013); was not a candidate for reelection to the \r', 'One Hundred Thirteenth Congress in 2012, but was an unsuccessful candidate for \r', 'election to the United States Senate. \r']",A000358,0,1,0,0,0,0,0,0,0,0
"ALEXANDER, Rodney","['a Representative from Louisiana; born in Quitman, Jackson Parish, \r', 'La., December 5, 1946; graduated from Jonesboro-Hodge High School, Jonesboro, \r', 'La., 1964; graduated, University of Louisiana-Monroe, Monroe, La.; United \r', 'States Air Force reserve, 1965-1971; insurance agent; businessman; member of \r', 'the Louisiana state house of representatives, 1987-2002; elected as a Democrat \r', 'to the One Hundred Eighth Congress; changed from a Democrat to a Republican on \r', 'August 9, 2004; reelected as a Republican to the One Hundred Ninth and to the \r', 'four succeeding Congresses until his resignation on September 27, 2013 (January \r', '3, 2003- September 27, 2013).\r']",A000361,0,0,0,0,0,0,0,0,0,0
"ALTMIRE, Jason","['a Representative from Pennsylvania; born in Kittanning, Armstrong \r', 'County, Pa., March 7, 1968; B.S., Florida State University, Tallahassee, Fla., \r', '1990; M.H.S.A., George Washington University, Washington, D.C., 1998; staff, \r', 'United States Representative Pete Peterson of Florida, 1991-1996; professional \r', 'advocate; elected as a Democrat to the One Hundred Tenth and to the two \r', 'succeeding Congresses (January 3, 2007-January 3, 2013); unsuccessful candidate \r', 'for nomination to the One Hundred Thirteenth Congress in 2012.\r']",A000362,0,1,0,0,0,0,0,0,0,0
"AMASH, Justin","['a Representative from Michigan; born in Grand Rapids, Kent County, \r', 'Mich., April 18, 1980; graduated from Grand Rapids Christian High School, Grand \r', 'Rapids, Mich., 1998; A.B., University of Michigan, Ann Arbor, Mich., 2002; \r', 'J.D., University of Michigan, Ann Arbor, Mich., 2005; lawyer, private practice; \r', 'member of the Michigan state house of representatives, 2008-2010; elected as a \r', 'Republican to the One Hundred Twelfth and to the three succeeding Congresses \r', '(January 3, 2011-present).\r']",A000367,1,0,1,0,0,0,0,0,0,0
"AMODEI, Mark E.","['a Representative from Nevada; born in Carson City, Carson City \r', 'County, Nev., June 12, 1958; graduated from Carson High School, Carson City, \r', 'Nev., 1976; B.A., University of Nevada, Reno, Nev., 1980; J.D., University of \r', 'the Pacific, McGeorge School of Law, Sacramento, Calif., 1983; Judge Advocate \r', 'General&#146;s Corps, United States Army, 1984-1987; lawyer, private practice; \r', 'member of the Nevada state assembly, 1997; member of the Nevada state senate, \r', '1999-2011, president pro tempore, 2003-2005; elected as a Republican to the One \r', 'Hundred Twelfth Congress, by special election, to fill the vacancy caused by \r', 'the resignation of United States Representative Dean Heller, and reelected to \r', 'the three succeeding Congresses (September 13, 2011-present).\r']",A000369,1,0,1,0,0,0,0,0,0,0
"ANDREWS, Robert Ernest","['a Representative from New Jersey; born in Camden, Camden County, \r', 'N.J., August 4, 1957; graduated from Triton High School, Runnemede, N.J., 1975; \r', 'B.S., Bucknell University, Lewisburg, Pa., 1979; J.D., Cornell Law School, \r', 'Ithaca, N.Y., 1982; freeholder, Camden County, N.J., 1986-1990; freeholder \r', 'director, Camden County, N.J., 1988-1990; elected as a Democrat by special \r', 'election to the One Hundred First Congress, to fill the vacancy caused by the \r', 'resignation of United States Representative James Florio and reelected to the \r', 'twelve succeeding Congresses until his resignation on February 18, 2014 (November 6, 1990-February 18, 2014).\r']",A000210,0,1,1,0,0,0,0,0,0,0
"AUSTRIA, Steve","['a Representative from Ohio; born in Cincinnati, Hamilton County, \r', 'Ohio, October 12, 1958; graduated from Carroll High School, Riverside, Ohio, \r', '1977; B.A., Marquette University, Milwaukee, Wis., 1982; financial advisor; \r', 'member, Ohio state house of representatives, 1999-2000; member, Ohio state \r', 'senate, 2001-2008, majority whip, 2005-2008; elected as a Republican to the One \r', 'Hundred Eleventh and to the succeeding Congress (January 3, 2009-January 3, \r', '2013); was not a candidate for reelection to the One Hundred Thirteenth \r', 'Congress in 2012. \r']",A000365,1,0,0,0,0,0,0,0,0,0
