Name,Bio,Identifier,B.A.,B.S.,J.D.,Ph.D.,M.B.A,M.A.,M.S.,M.P.H.,M.D.,D.M.D.,non-JD,none
"BARROW, John","[' a Representative from Georgia; born in Athens, Clarke County, Ga., \r', 'October 31, 1955; graduated from Clarke Central High School, Athens, Ga., 1973; \r', 'B.A., University of Georgia, Athens, Ga., 1976; J.D., Harvard University, \r', 'Cambridge, Mass., 1979; lawyer, private practice; Athens-Clarke, Georgia, \r', 'city-county commissioner, 1990-2004; elected as a Democrat to the One Hundred \r', 'Ninth and to the four succeeding Congresses (January 3, 2005-January 3, 2015); \r', 'unsuccessful candidate for reelection to the One Hundred Fourteenth Congress in \r', '2014.\r']",B001252,1,0,1,0,0,0,0,0,0,0,0,0
"BARTON, Joe Linus","['a Representative from Texas; born in Waco, McLennan County, Tex., \r', 'September 15, 1949; graduated from Waco High School, Waco, Tex., 1968; B.A., \r', 'Texas A&amp;M University, College Station, Tex., 1972; M.S., Purdue University, \r', 'West Lafayette, Ind., 1973; business executive; White House Fellowship, served \r', 'as aide to Secretary of Energy James B. Edwards, 1981-1982; elected as a \r', 'Republican to the Ninety-ninth and to the sixteen succeeding Congresses \r', '(January 3, 1985-present); chair, Committee on Energy and Commerce (One Hundred \r', 'Eighth and One Hundred Ninth Congresses).\r']",B000213,1,0,0,0,0,0,1,0,0,0,1,0
"BASS, Karen","['a Representative from California; born in Los Angeles, Los Angeles \r', 'County, California, October 3, 1953; graduated from Hamilton High School, Los \r', 'Angeles, Calif.; B.S., California State University, Dominguez Hills, Calif., \r', '1990; P.A., University of Southern California, Los Angeles, Calif.; physician&#146;s \r', 'assistant; faculty, University of Southern California, Los Angeles, Calif.; \r', 'member of the California state assembly, 2005-2010, speaker, 2008-2010; elected \r', 'as a Democrat to the One Hundred Twelfth and to the three succeeding Congresses \r', '(January 3, 2011-present).\r']",B001270,0,1,0,0,0,0,0,0,0,0,0,1
"BEATTY, Joyce","['a Representative from Ohio; born in Dayton, Montgomery County, Ohio, \r', 'March 12, 1950; graduated from Nettie Lee Roth High School, Dayton, Ohio; B.A., \r', 'Central State University, Wilberforce, Ohio, 1972; M.S., Wright State \r', 'University, Fairborn, Ohio, 1974; attended University of Cincinnati, \r', 'Cincinnati, Ohio; Montgomery County, Ohio, executive director, human services; \r', 'professor, Sinclair Community College, Dayton, Ohio, 1975-1983; businesswoman; \r', 'member of the Ohio state house of representatives, 1999-2008; delegate to the \r', 'Democratic National Convention, 1996, 2000, 2004, 2008, 2012; administrator, \r', 'The Ohio State University, Columbus, Ohio, 2008-2012; elected as a Democrat to \r', 'the One Hundred Thirteenth and to the two succeeding Congresses (January 3, \r', '2013-present).\r']",B001281,1,0,0,0,0,0,1,0,0,0,1,0
"BECERRA, Xavier","['a Representative from California; born in Sacramento, Sacramento \r', 'County, Calif., January 26, 1958; B.A., Stanford University, Stanford, Calif., \r', '1980; J.D., Stanford University, Stanford., Calif., 1984; lawyer, private \r', 'practice; staff, California state senator Art Torres, 1986; deputy attorney \r', 'general, Office of the Attorney General, State of California, 1987-1990; member \r', 'of the California state assembly, 1990-1992; elected as a Democrat to the One \r', 'Hundred Third and to the twelve succeeding Congresses until his resignation on \r', 'January 24, 2017 (January 3, 1993-January 24, 2017); chair, House Democratic \r', 'Caucus (One Hundred Thirteenth and One Hundred Fourteenth Congresses); attorney \r', 'general of California, 2017-present.\r']",B000287,1,0,1,0,0,0,0,0,0,0,0,0
"BENISHEK, Dan","['a Representative from Michigan; born in Iron River, Iron County, \r', 'Mich., April 20, 1952; graduated from West Iron County High School, Iron River, \r', 'Mich., 1970; B.S., University of Michigan, Ann Arbor, Mich., 1974; M.D., Wayne \r', 'State University Medical School, Detroit, Mich., 1978; physician; elected as a \r', 'Republican to the One Hundred Twelfth and to the two succeeding Congresses \r', '(January 3, 2011-January 3, 2017); was not a candidate for reelection to the \r', 'One Hundred Fifteenth Congress in 2016.\r']",B001271,0,1,0,0,0,0,0,0,1,0,1,0
"BENTIVOLIO, Kerry","['a Representative from Michigan; born in Detroit, Wayne County, \r', 'Mich., October 6, 1951; attended, Oakland Community College, Bloomfield Hills, \r', 'Mich.; attended, Michigan State University, Lansing, Mich.; B.A., St. Mary&#146;s \r', 'College, Orchard Lake, Mich.; M.A., Marygrove College, Detroit, Mich.; United \r', 'States Army, 1968-1971, 2007-2008; Michigan Army National Guard, 1974, \r', '1990-2009; automotive designer; contractor; teacher; farmer; unsuccessful \r', 'nominee for election to the Michigan state senate in 2010; elected as a \r', 'Republican to the One Hundred Thirteenth Congress (January 3, 2013-January 3, \r', '2015); unsuccessful candidate for renomination to the One Hundred Fourteenth \r', 'Congress in 2014.\r']",B001280,1,0,0,0,0,1,0,0,0,0,1,0
"BERA, Ami","['a Representative from California; born in Los Angeles, Los Angeles \r', 'County, Calif., March 2, 1965; B.S., University of California, Irvine, Calif., \r', '1987; M.D., University of California, Irvine, Calif., 1991; physician; \r', 'professor; associate dean, University of California-Irvine School of Medicine, \r', 'Irvine, Calif., 2004-2007; Sacramento County, Calif. chief medical officer, \r', '1999-2004; unsuccessful candidate for election to the One Hundred Twelfth \r', 'Congress in 2010; elected as a Democrat to the One Hundred Thirteenth and to \r', 'the two succeeding Congresses (January 3, 2013-present).\r']",B001287,0,1,0,0,0,0,0,0,1,0,1,0
"BILIRAKIS, Gus","[' (son of Michael Bilirakis), \r', 'a Representative from Florida; born in Gainesville, Alachua County, \r', 'Fla., February 8, 1963; attended St. Petersburg Junior College, St. Petersburg, \r', 'Fla., 1981-1983; B.A., University of Florida, Gainesville, Fla., 1986; J.D., \r', 'Stetson University, St. Petersburg, Fla., 1989; lawyer, private practice; \r', 'professor; member of the Florida state house of representatives, 1998-2006; \r', 'elected as a Republican to the One Hundred Tenth and to the five succeeding \r', 'Congresses (January 3, 2007-present).\r']",B001257,1,0,1,0,0,0,0,0,0,0,0,0
"BISHOP, Robert (Rob)","['a Representative from Utah; born in Kaysville, Utah, July 13, 1951; \r', 'B.A., University of Utah, Salt Lake City, Utah, 1974; teacher; professional \r', 'advocate; member of the Utah state house of representatives, 1979-1994, \r', 'speaker, 1992-1994; elected as a Republican to the One Hundred Eighth and to \r', 'the seven succeeding Congresses (January 3, 2003-present); chairman, Committee \r', 'on Natural Resources (One Hundred Fourteenth and One Hundred Fifteenth \r', 'Congresses).\r']",B001250,1,0,0,0,0,0,0,0,0,0,0,1
"BISHOP, Sanford Dixon, Jr.","['a Representative from Georgia; born in Mobile, Mobile County, Ala., \r', 'February 4, 1947; graduated from Central High School, Mobile, Ala., 1964; B.A., \r', 'Morehouse College, Atlanta, Ga., 1968; J.D., Emory University, \r', 'Atlanta, Ga., 1971; lawyer, private practice; United States Army, 1969-1971; \r', 'member of the Georgia state house of representatives, 1977-1991; member of the \r', 'Georgia state senate, 1991-1993; elected as a Democrat to the One Hundred Third \r', 'and to the twelve succeeding Congresses (January 3, 1993-present).\r']",B000490,1,0,1,0,0,0,0,0,0,0,0,0
"BISHOP, Timothy H.","['a Representative from New York; born in Southampton, Suffolk County, \r', 'N.Y., June 1, 1950; graduated from Southampton High School, Southampton, N.Y., \r', '1968; A.B., Holy Cross College, Worcester, Mass., 1972; M.A., Long Island \r', 'University, Long Island, N.Y., 1981; administrator, Southampton College, \r', 'Southampton, N.Y., 1973-2002; elected as a Democrat to the One Hundred Eighth \r', 'and to the five succeeding Congresses (January 3, 2003-January 3, 2015); \r', 'unsuccessful candidate for reelection to the One Hundred Fourteenth Congress in \r', '2014.\r']",B001242,1,0,0,0,0,1,0,0,0,0,1,0
"BLACK, Diane","['a Representative from Tennessee; born in Baltimore, Md., January 16, 1951; graduated from Andover High School, Linthicum Heights, Md.; A.S.N., Anne Arundel Community College, Arnold, Md., 1971; B.S.N., Belmont University, Nashville, Tenn., 1992; nurse; nonprofit community organization fundraiser; member of the Tennessee state house of representatives, 1999-2005; member of the Tennessee state senate, 2005-2010; elected as a Republican to the One Hundred Twelfth and to the three succeeding Congresses (January 3, 2011-present); chair, Committee on Budget (One Hundred Fifteenth Congress). \r']",B001273,0,1,0,0,0,0,0,0,0,0,0,1
"BLACKBURN, Marsha","['a Senator and a Representative from Tennessee; born in Laurel, Jones County, Miss., June 6, 1952; graduated from Northeast Jones High School, Laurel, Miss.; B.S. Mississippi State University, Starkville, Miss., 1973; business owner; private advocate; unsuccessful candidate for election to the One Hundred Third Congress in 1992; member of the Tennessee state senate, 1998-2002; elected as a Republican to the One Hundred Eighth and to the seven succeeding Congresses (January 3, 2003-January 3, 2019); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2018 for the term ending January 3, 2025.  \r']",B001243,0,1,0,0,0,0,0,0,0,0,0,1
"BLUMENAUER, Earl","['a Representative from Oregon; born in Portland, Multnomah County, \r', 'Oreg., August 16, 1948; graduated from Centennial High School, Portland, Oreg., \r', '1966; B.A., Lewis and Clark College, Portland, Oreg., 1970; J.D., Lewis and \r', 'Clark Law School, Portland, Oreg., 1976; assistant to the president of Portland \r', 'State University, Portland, Oreg., 1970-1977; member of the Oregon state house \r', 'of representatives, 1973-1978; member of the board of directors, Portland \r', 'Community College, 1975-1981; Multnomah County, Oreg., commissioner, 1978-1985; \r', 'Portland, Oreg., city commissioner, 1986-1996; served on the Governor&#x2019;s \r', 'commission on higher education, 1990-1991; elected as a Democrat, by special \r', 'election, to the One Hundred Fourth Congress to fill the vacancy caused by the \r', 'resignation of United States Representative Ronald Lee Wyden, and reelected to \r', 'the eleven succeeding Congresses (May 21, 1996-present). \r']",B000574,1,0,1,0,0,0,0,0,0,0,0,0
"BOEHNER, John Andrew","['a Representative from Ohio; born in Cincinnati, Hamilton County, Ohio, November 17, 1949; graduated from Moeller High School, Cincinnati, Ohio, 1968; B.S., Xavier University, Cincinnati, Ohio, 1977; United States Navy, 1968; businessman; business executive; member of the Union Township, Ohio, board of trustees, 1981, and president, 1984; member of the Ohio state house of representatives, 1985-1990; elected as a Republican to the One Hundred Second and to the twelve succeeding Congresses, and served until his resignation on October 31, 2015 (January 3, 1991-October 31, 2015); House Republican Conference Chairman, 1995-1999; chair, Committee on Education and the Workforce (One Hundred Seventh through One Hundred Ninth Congresses); majority leader (One Hundred Ninth Congress); minority leader (One Hundred Tenth and One Hundred Eleventh Congress); Speaker of the House (One Hundred Twelfth through One Hundred Fourteenth Congresses). \r']",B000589,0,1,0,0,0,0,0,0,0,0,0,1
"BONAMICI, Suzanne","['a Representative from Oregon; born in Detroit, Wayne County, Mich., \r', 'October 14, 1954; A.A., Lane Community College, Eugene, Oreg. 1978; B.A., \r', 'University of Oregon, Eugene, Oreg., 1980; J.D., University of Oregon, Eugene, \r', 'Oreg., 1983; lawyer, Federal Trade Commission, Washington, D.C.; lawyer, \r', 'private practice; staff, Oregon state house of representatives, 2001-2006; \r', 'member of Oregon state house of representatives 2007-2008; member of Oregon \r', 'state senate, 2008-2011; elected as a Democrat to the One Hundred Twelfth \r', 'Congress, by special election, to fill the vacancy caused by the resignation of \r', 'United States Representative David Wu, and reelected to the three succeeding \r', 'Congresses (January 31, 2012-present). \r']",B001278,1,0,1,0,0,0,0,0,0,0,0,0
"BONNER, Jr., Josiah Robins (Jo)","['a Representative from Alabama; born in Selma, Dallas County, Ala., \r', 'November 19, 1959; B.A., University of Alabama, 1982; attended University of \r', 'Alabama Law School; staff, United States Representative Sonny Callahan of \r', 'Alabama, 1985-2002; elected as a Republican to the One Hundred Eighth and to \r', 'the five succeeding Congresses until his resignation on August 2, 2013 (January \r', '3, 2003-August 2, 2013); chair, Committee on Ethics (One Hundred Twelfth \r', 'Congress).\r']",B001244,1,0,0,0,0,0,0,0,0,0,0,1
"BOUSTANY, Charles W.","['a Representative from Louisiana; born in New Orleans, Orleans \r', 'Parish, La., February 21, 1956; graduated Cathedral Carmel High School, \r', 'Lafayette, La.; B.S., University of Southwestern Louisiana, Lafayette, La., \r', '1978; M.D., Louisiana State University School of Medicine, New Orleans, La., \r', '1982; surgeon; elected as a Republican to the One Hundred Ninth and to the five \r', 'succeeding Congresses (January 3, 2005-January 3, 2017); was not a candidate \r', 'for reelection to the One Hundred Fifteenth Congress in 2016, but was an \r', 'unsuccessful candidate for election to the United States Senate.\r']",B001255,0,1,0,0,0,0,0,0,1,0,1,0
"BRADY, Kevin Patrick","['a Representative from Texas; born in Vermillion, Clay County, S. \r', 'Dak., April 11, 1955; graduated from Rapid City Central High School, Rapid \r', 'City, S. Dak; B.A., University of South Dakota, Vermillion, S. Dak., 1990; \r', 'member of the Texas state house of representatives, 1990-1996; elected as a \r', 'Republican to the One Hundred Fifth and to the ten succeeding Congresses \r', '(January 3, 1997-present); chair, Joint Economic Committee (One Hundred \r', 'Thirteenth Congress); chair, Committee on Ways &amp; Means (One Hundred \r', 'Fourteenth and One Hundred Fifteenth Congresses); chair, Joint Committee on \r', 'Taxation (One Hundred Fifteenth Congress).\r']",B000755,1,0,0,0,0,0,0,0,0,0,0,1
"BRADY, Robert A.","['a Representative from Pennsylvania; born in Philadelphia, \r', 'Philadelphia County, Pa., April 7, 1945; graduated from St. Thomas More High \r', 'School, Philadelphia, Pa., 1963; union official; sergeant-at-arms, \r', 'Philadelphia, Pa., city council, 1975-1983; chairman, Philadelphia, Pa., \r', 'Democratic Party; member of the Pennsylvania Democratic state committee and \r', 'Democratic National Committee; member of the Pennsylvania turnpike commission, \r', '1991-1998; elected as a Democrat to the One Hundred Fifth Congress, by special \r', 'election, to fill the vacancy caused by the resignation of United States \r', 'Representative Thomas Foglietta, and reelected to the ten succeeding Congresses \r', '(May 19, 1998-present);chair, Committee on House Administration (One Hundred \r', 'Tenth and One Hundred Eleventh Congresses).\r']",B001227,0,0,0,0,0,0,0,0,0,0,0,1
"BRALEY, Bruce","['a Representative from Iowa; born in Grinnell, Poweshiek County, \r', 'Iowa, October 30, 1957; graduated from B.G.M. High School, Brooklyn, Iowa; \r', 'B.A., Iowa State University, 1980; J.D., University of Iowa, 1983; lawyer, \r', 'private practice; elected as a Democrat to the One Hundred Tenth and to the \r', 'three succeeding Congresses (January 3, 2007-January 3, 2015); not a candidate \r', 'for reelection, but was an unsuccessful candidate for election to the United \r', 'States Senate in 2014.\r']",B001259,1,0,1,0,0,0,0,0,0,0,0,0
"BRIDENSTINE, Jim","['a Representative from Oklahoma; born in Ann Arbor, Washtenaw County, \r', 'Mich., June 15, 1975; graduated from Jenks High School, Tulsa, Okla., 1993; \r', 'B.A., Rice University, Houston, Texas, 1998; M.B.A., Cornell University, \r', 'Ithaca, N.Y., 2009; United States Navy, 1998-2007; United States Navy Reserve, \r', '2010-present; defense consultant; elected as a Republican to the One Hundred \r', 'Thirteenth and to the two succeeding Congresses until his resignation on April \r', '23, 2018 (January 3, 2013-April 23, 2018); NASA Administrator, \r', '2018-present.\r']",B001283,1,0,0,0,1,0,0,0,0,0,1,0
"BROOKS, Mo","['a Representative from Alabama; born in Charleston, Charleston \r', 'County, S.C., April 29, 1954; graduated from Grissom High School, Huntsville, \r', 'Ala., 1972; B.A., Duke University, Durham, N.C., 1975; J.D., University of \r', 'Alabama School of Law, Tuscaloosa, Ala., 1978; lawyer, private practice; \r', 'Tuscaloosa County, Ala. prosecutor, 1978-1980; law clerk, Presiding Circuit Court Judge John \r', 'Snodgrass, 1980-1981; member of the Alabama house of representatives, \r', '1982-1991; Madison County, Ala. district attorney, 1991-1993; special assistant \r', 'attorney general, state of Alabama, 1995-2002; commissioner, Madison County, \r', 'Ala., board of commissions, 1996-2011; elected as a Republican to the One \r', 'Hundred Twelfth and to the three succeeding Congresses (January 3, \r', '2011-present).\r']",B001274,1,0,1,0,0,0,0,0,0,0,0,0
"BROOKS, Susan","['a Representative from Indiana; born in Auburn, Dekalb County, Ind., August 25, 1960; graduated from Homestead High School, Fort Wayne, Ind., 1978; B.A., Miami University, Oxford, Ohio, 1982; J.D., Indiana University, Indianapolis, Ind., 1985; lawyer, private practice; deputy mayor of Indianapolis, Ind., 1998-1999; United States attorney for the Southern District of Indiana, 2001-2007; senior vice president and general counsel, Ivy Tech Community College, Indianapolis, Ind.; elected as a Republican to the One Hundred Thirteenth and to the two succeeding Congresses (January 3, 2013-present); chair, Committee on Ethics (One Hundred Fifteenth Congress)\r']",B001284,1,0,1,0,0,0,0,0,0,0,0,0
"BROUN, Paul C., Jr.","['a Representative from Georgia; born in Atlanta, Fulton County, Ga., \r', 'May 14, 1946; graduated from Athens High School, Athens, Ga., 1963; United \r', 'States Marine Corps Reserve, 1964-1967; B.S., University of Georgia, Athens, \r', 'Ga., 1967; M.D., Medical College of Georgia, Augusta, Ga., 1971; physician; \r', 'elected as a Republican to the One Hundred Tenth Congress, by special election, \r', 'to fill the vacancy caused by the death of United States Representative Charles \r', 'Norwood, and to the three succeeding Congresses (July 17, 2007-January 3, \r', '2015); unsuccessful candidate for nomination to the United States Senate in \r', '2014; unsuccessful candidate for nomination to the One Hundred Fifteenth Congress in 2016.\r']",B001262,0,1,0,0,0,0,0,0,1,0,1,0
"BROWN, Corrine","['a Representative from Florida; born in Jacksonville, St. John \r', 'County, Fla., November 11, 1946; B.S., Florida Agricultural and Mechanical \r', 'University, Tallahassee, Fla., 1969; M.A., Florida Agricultural and Mechanical \r', 'University, Tallahassee, Fla., 1971; Ed.S., University of Florida, Gainesville, \r', 'Fla., 1974; faculty, University of Florida, Gainesville, Fla., Edward Waters \r', 'College, Jacksonville, Fla., and Florida Community College, Jacksonville, Fla.; \r', 'member of the Florida state house of representatives, 1983-1993; elected as a \r', 'Democrat to the One Hundred Third and to the eleven succeeding Congresses \r', '(January 3, 1993-January 3, 2017); unsuccessful candidate for renomination to the \r', 'One Hundred Fifteenth Congress in 2016. \r']",B000911,0,1,0,0,0,1,0,0,0,0,1,0
"BROWNLEY, Julia","['a Representative from California; born in Aiken, Aiken County, S.C., \r', 'August 28, 1952; B.A., Mount Vernon College, Washington, D.C., 1975; M.B.A., \r', 'American University, Washington, D.C., 1979; business manager; member of the \r', 'Santa Monica-Malibu school district board, 1994-2006; member of the California \r', 'state assembly, 2006-2012; elected as a Democrat to the One Hundred Thirteenth \r', 'and to the two succeeding Congresses (January 3, 2013-present).\r']",B001285,1,0,0,0,1,0,0,0,0,0,1,0
"BUCHANAN, Vernon G.","['a Representative from Florida; born on May 8, 1951; B.B.A., Cleary \r', 'University, Ann Arbor, Mich., 1975; M.B.A., University of Detroit, Detroit, \r', 'Mich., 1986; Michigan Air National Guard, 1970-1976; businessman; campaign \r', 'staff; elected as a Republican to the One Hundred Tenth and to the five \r', 'succeeding Congresses (January 3, 2007-present).\r']",B001260,1,0,0,0,1,0,0,0,0,0,1,0
"BUCSHON, Larry","['a Representative from Indiana; born in Taylorville, Bartholomew \r', 'County, Ill., May 31, 1962; B.S., University of Illinois, Urbana-Champaign, \r', 'Ill., 1984; M.D., University of Illinois, Chicago, Ill., 1988; physician; \r', 'United States Navy Reserve, 1989-1998; elected as a Republican to the One \r', 'Hundred Twelfth and to the three succeeding Congresses (January 3, \r', '2011-present).\r']",B001275,0,1,0,0,0,0,0,0,1,0,1,0
"BURGESS, Michael C.","['a Representative from Texas; born in Rochester, Olmsted County, \r', 'Minn., December 23, 1950; graduated from Selwyn College Preparatory School, \r', 'Denton, Tex., 1968; B.S., North Texas State University, Denton, Tex., 1972; \r', 'M.S., North Texas State University, Denton, Tex., 1976; M.D., University of \r', 'Texas Medical School, Houston, Tex., 1977; M.S., University of Texas, Dallas, \r', 'Tex., 2000; physician; elected as a Republican to the One Hundred Eighth and to \r', 'the seven succeeding Congresses (January 3, 2003-present).\r']",B001248,0,1,0,0,0,0,1,0,1,0,1,0
"BUSTOS, Cheri","['a Representative from Illinois; born in Springfield, Sangamon \r', 'County, Ill., October 17, 1961; graduated from Springfield High School, \r', 'Springfield, Ill., 1979; attended Illinois College, Jacksonville, Ill.; B.A., \r', 'University of Maryland, College Park, Md., 1983; M.A., University of Illinois, \r', 'Springfield, Ill., 1985; journalist; businesswoman; member of the East Moline, \r', 'Ill., city council, 2007-2011; elected as a Democrat to the One Hundred \r', 'Thirteenth and to the two succeeding Congresses (January 3, 2013-present). \r']",B001286,1,0,0,0,0,1,0,0,0,0,1,0
"BUTTERFIELD, George Kenneth, Jr. (G.K.)","['a Representative from North Carolina; born in Wilson, Wilson County, \r', 'N.C., April 27, 1947; graduated from Charles H. Darden High School, Wilson, \r', 'N.C.; B.A., North Carolina Central University, Durham, N.C., 1971; J.D., North \r', 'Carolina Central University School of Law, 1974; United States Army, 1968-1970; \r', 'lawyer, private practice; North Carolina resident superior court judge, \r', '1989-2001; North Carolina special superior court judge, 2002-2004; justice of \r', 'the North Carolina state supreme court, 2001-2002; elected as a Democrat to the \r', 'One Hundred Eighth Congress, by special election, to fill the vacancy caused by \r', 'the resignation of United States Representative Frank Ballance, and reelected \r', 'to the seven succeeding Congresses (July 20, 2004-present).\r']",B001251,1,0,1,0,0,0,0,0,0,0,0,0
